Classifier,Accuracy,F1-score,Kappa
CSP+LDA,71.0% ± 12.6%,69.8% ± 13.3%,0.419 ± 0.252
CSP+SVM,72.5% ± 12.0%,71.4% ± 13.1%,0.450 ± 0.241
